"Nome da campanha","Nome do conjunto de anúncios","Nome da conta","Nome do anúncio",Dia,Plataforma,Posicionamento,"Plataforma do dispositivo","Veiculação do anúncio",Alcance,Impressões,"Cliques (todos)",Moeda,"CPC (todos)","Valor usado (BRL)",Início,Término,Frequência,Compras,"Custo por compra","Valor de conversão da compra","Cliques no link","CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","CTR (todos)",Visualizações,"Configuração de atribuição","Taxa de compras por visualizações da página de destino","Taxa de compras por cliques no link","Taxa de visualizações da página de destino por cliques no link","Custo por 1.000 contas da Central de Contas alcançadas","Veiculação do conjunto de anúncios","Veiculação da campanha","CTR (taxa de cliques no link)","Adições ao carrinho","Orçamento da campanha","Tipo de orçamento da campanha","Nome da campanha","URL do site","Início dos relatórios","Término dos relatórios"
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,"Facebook Reels",mobile_web,active,2,2,0,BRL,,0,2025-12-28,Contínuo,1,,,,,,0,0,2,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,0,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","AD | CAT | FLORAL",2026-03-19,instagram,"Instagram Stories",mobile_app,active,1,1,0,BRL,,0.02,2025-12-28,Contínuo,1,,,,,,20,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,20,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/collections/colecao-floral,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","AD | CAT | FLORAL",2026-03-19,facebook,Feed,mobile_app,active,4,4,0,BRL,,0.05,2025-12-28,Contínuo,1,,,,,,12.5,0,4,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,12.5,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/collections/colecao-floral,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","AD | CAT | FLORAL",2026-03-19,facebook,"Facebook Stories",mobile_app,active,1,1,0,BRL,,0.01,2025-12-28,Contínuo,1,,,,,,10,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,10,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/collections/colecao-floral,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","AD | CAT | FLORAL",2026-03-19,instagram,Feed,mobile_app,active,8,9,1,BRL,0.32,0.32,2025-12-28,Contínuo,1.125,,,,1,0.32,35.55555556,11.11111111,9,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,40,active,active,11.11111111,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/collections/colecao-floral,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,"Resultados da pesquisa",mobile_app,active,1,1,0,BRL,,0.01,2025-12-28,Contínuo,1,,,,,,10,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,10,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,Marketplace,mobile_app,active,1,1,0,BRL,,0,2025-12-28,Contínuo,1,,,,,,0,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,0,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,Feed,desktop,active,34,34,1,BRL,0.82,0.82,2025-12-28,Contínuo,1,,,,,,24.11764706,2.94117647,34,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,24.11764706,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,"Facebook Stories",mobile_app,active,16,18,3,BRL,0.23666667,0.71,2025-12-28,Contínuo,1.125,,,,3,0.23666667,39.44444444,16.66666667,18,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,44.375,active,active,16.66666667,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,instagram,Feed,desktop,active,2,2,0,BRL,,0.09,2025-12-28,Contínuo,1,,,,,,45,0,2,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,45,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
